codigo_producto,cantidad,bodega,valor_unitario
CODIGO-INEXISTENTE-0,280,ALMACEN NIVEL 1,2177.67
D3006,2793,Sin Asignar,1650
122030100,17,AUDIO Y VIDEO,600000
F0011,162,Sin Asignar,414571.7
11011090,10,ALMACEN NIVEL 3,51400
72212000382,1028,ALMACEN NIVEL 1,880
72222000012,542,ALMACEN NIVEL 1,52.6
CODIGO-INEXISTENTE-7,8178,Sin Asignar,3024.5
TO707,1000,Sin Asignar,56
72282000003,1367,ALMACEN NIVEL 1,250
41061000,1088,ALMACEN NIVEL 1,1389.86
72252000081,0,ALMACEN NIVEL 1,45
P8015,488,Sin Asignar,186599.13
TO7012,2500,Sin Asignar,179.3
CODIGO-INEXISTENTE-14,11120,Sin Asignar,703.29
33015000,9,ALMACEN NIVEL 2,64632.24
91022000,200,DESCANSABRAZOS,19786.21
62011000008,10,METALMECANICA,649858.9
F0023,458,Sin Asignar,8449.13
73322000516,1390,ALMACEN NIVEL 1,95
41022000,1041,ALMACEN NIVEL 1,810
CODIGO-INEXISTENTE-21,6,ALMACEN NIVEL 1,15170.85
10334600,0,ALMACEN NIVEL 1,6499.94
F0004,57,Sin Asignar,89280.51
111021003,12,MADERAS,47880.54
M201,135,Sin Asignar,97261.03
TO7035,18908,Sin Asignar,930.48
24011316,304,ALMACEN NIVEL 1,108
CODIGO-INEXISTENTE-28,17500,Sin Asignar,294.63
T4045,21,Sin Asignar,34695.41
34016035,90,ALMACEN NIVEL 1,10800
M2004,109,Sin Asignar,67249.96
I5014,260,Sin Asignar,548649.23
T4024,0,Sin Asignar,12605.01
73313000006,651,ALMACEN NIVEL 1,64.52
CODIGO-INEXISTENTE-35,50,Sin Asignar,12562
72231000834,100,ALMACEN NIVEL 1,56
72262000142,277,ALMACEN NIVEL 1,158
I5024,40122,Sin Asignar,297.88
F003,21,Sin Asignar,94433.14
