codigo_producto,cantidad,bodega,valor_unitario
I5054,21,Sin Asignar,123586.05
72211038412,59,ALMACEN NIVEL 1,250
41211020,750,ALMACEN NIVEL 1,1376.61
CL4010,4468,Sin Asignar,3584.68
10101100,1200,ALMACEN NIVEL 1,30
10315100,6,ALMACEN NIVEL 1,6665.78
91022000,200,DESCANSABRAZOS,19786.21
10141100,9,ALMACEN NIVEL 2,5000
S1002,1,AUDIO Y VIDEO,3601665.14
72232014112,903,ALMACEN NIVEL 1,88
T4009,682,Sin Asignar,13976.35
I5036,4,ALMACEN NIVEL 1,2346580.89
I515,70,Sin Asignar,20000
T4021,40,Sin Asignar,29180.76
54043000,40,ALMACEN NIVEL 1,3919.93
TO7089,1313,Sin Asignar,872.15
42011000,912,ALMACEN NIVEL 1,2733.05
121020300,9,AUDIO Y VIDEO,664000
61011000218,6,METALMECANICA,57244.67
41201017,258,ALMACEN NIVEL 1,2019.95
83011000,230,METALMECANICA,1323
10105400,1032,ALMACEN NIVEL 1,3900.37
T4049,20,Sin Asignar,28992
F0026,140,Sin Asignar,72554.6
89011000,1,METALMECANICA,7700
T4012,128,Sin Asignar,65237.1
10126200,4136,ALMACEN NIVEL 1,150
TO7054,410,Sin Asignar,4021.95
D3014,3505,Sin Asignar,18486.73
TO7065,22650,Sin Asignar,116.89
T402,70,Sin Asignar,22324
41112000,500,ALMACEN NIVEL 1,1257.24
10202100,380,ALMACEN NIVEL 1,2204.24
27013012,391,ALMACEN NIVEL 2,1094.92
TO7090,501,Sin Asignar,803.34
10314100,37,ALMACEN NIVEL 1,7627.57
T4004,3,Sin Asignar,31350
10024,1940,Sin Asignar,12480
55113000,20,ALMACEN NIVEL 1,51176.47
I5031,8422,Sin Asignar,1328.86
TO7001,21600,Sin Asignar,130.09
81011000,370,METALMECANICA,4530
I5040,16,Sin Asignar,12784.5
T405,230,Sin Asignar,22324
74412000014,660,ALMACEN NIVEL 1,58.08
P802,140,Sin Asignar,36956.57
73362000014,542,ALMACEN NIVEL 1,100
34024000,90,METALMECANICA,206677
I5027,6099,Sin Asignar,9000
72242000834,508,ALMACEN NIVEL 1,50
F007,7,Sin Asignar,92324
26023012,136,ALMACEN NIVEL 2,6704.24
74413000008,190,ALMACEN NIVEL 1,37.97
10402200,6,ALMACEN NIVEL 2,45885
73342000716,300,ALMACEN NIVEL 1,145
I5010,629,Sin Asignar,110880.14
43021000,1960,ALMACEN NIVEL 1,629.74
I5063,5,Sin Asignar,18789.93
63031000116,107,METALMECANICA,26599.29
T4006,7826,Sin Asignar,35627.3
121020200,20,AUDIO Y VIDEO,161000
PM1009,30495,Sin Asignar,965.28
